"edu_id","match_fam_id","edu_BirthYear","edu_GenderNum","edu_GenderNum.1","edu_ParentOcc","edu_ParentSES","edu_AdmissionYear","edu_YearStart","edu_YearFinish","edu_YearsOut","edu_SchoolLeavingAge","edu_LeaveIslands","edu_CompletedEdu","edu_FurtherEduVOther","edu_StaysCompletedEdu","adult_fam.id","adult_SES","adult_Fertility","deaths_id","deaths_DeathAge"
1968,337,1904,NA,NA,"Soldier",38.7,1916,1916,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
1871,1004,1907,NA,NA,"",NA,1913,1913,1913,NA,6,"1",NA,NA,NA,NA,NA,NA,NA,NA
2820,843,1943,"0","0","Blacksmith",46.09,1948,1948,1951,NA,8,"1",NA,NA,NA,NA,NA,NA,NA,NA
1104,1004,NA,NA,NA,"Gentleman",NA,1884,1884,1884,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
2518,651,1930,"0","0","Carpenter",50,1935,1935,1944,0,14,"1","0","1",NA,NA,NA,NA,NA,NA
2087,393,1911,NA,NA,"Sailor",50.99,1918,1918,1918,NA,7,"1",NA,NA,NA,NA,NA,NA,NA,NA
2504,637,1930,NA,NA,"Baker",39.63,1935,1935,1938,NA,8,"0","1",NA,1,NA,NA,NA,NA,NA
2284,490,1921,NA,NA,"Farmer",51.61,1926,1926,1930,1,9,"0","1","0",1,NA,NA,NA,NA,NA
2326,502,1923,NA,NA,"Farmer",51.61,1927,1927,1937,NA,14,"0","1",NA,1,NA,NA,NA,NA,NA
2604,1004,1926,NA,NA,"Service.",NA,1939,1939,1939,NA,13,"1",NA,NA,NA,NA,NA,NA,NA,NA
2226,451,1919,"0","0","Labourer",34.52,1923,1923,1933,NA,14,"0","1",NA,1,NA,NA,NA,NA,NA
1844,256,1907,"0","0","Boatman",57.2,1912,1912,1921,NA,14,"0","1","0",1,NA,NA,NA,NA,NA
1542,279,1895,"0","0","Labourer",34.52,1906,1906,1909,NA,14,"0",NA,NA,NA,NA,NA,NA,NA,NA
2076,387,1912,"0","0","Soldier",38.7,1918,1918,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
1530,213,1896,"0","0","Baker",39.63,1906,1906,1909,NA,13,"1",NA,NA,NA,NA,NA,NA,NA,NA
3036,995,1950,"1","1","Farm.Labourer",52.02,1955,1955,1965,NA,15,"1","0","1",NA,NA,NA,NA,NA,NA
2549,672,1931,"0","0","Carpenter",50,1937,1937,1945,NA,14,"0","1",NA,1,NA,NA,NA,NA,NA
1760,1004,1904,"0","0","",NA,1910,1910,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
2725,1004,1939,"0","0","",NA,1944,1944,1951,NA,12,"1","0","1",NA,NA,NA,NA,NA,NA
2505,641,1922,"0","0","Clerk",58.68,1935,1935,1938,NA,16,"0","1",NA,1,NA,NA,NA,NA,NA
3024,990,1943,"0","0","L.Keeper",51.63,1954,1954,1954,NA,11,"1",NA,NA,NA,NA,NA,NA,NA,NA
2772,809,NA,"1","1","Plumber",50.38,1946,1946,1946,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
2834,810,1944,"1","1","Labourer",34.52,1948,1948,1959,NA,15,"1","0","1",NA,NA,NA,NA,NA,NA
1470,213,1898,"1","1","Baker",39.63,1904,1904,1911,NA,13,"0","1",NA,1,NA,NA,NA,NA,NA
2920,913,1946,"1","1","Labourer",34.52,1951,1951,1961,NA,15,"0","1","0",1,NA,NA,NA,NA,NA
2895,893,1946,"1","1","Farm.Labourer",52.02,1950,1950,1961,NA,15,"0","1","0",1,NA,NA,NA,NA,NA
2162,436,1917,"1","1","Sailor",50.99,1921,1921,1931,NA,14,"0","1",NA,1,NA,NA,NA,NA,NA
1237,132,1880,"1","1","Lightkeeper",51.63,1890,1890,1893,NA,13,"0",NA,NA,NA,NA,NA,NA,NA,NA
2095,397,1906,"1","1","Baker",39.63,1919,1919,1920,NA,14,"0","1",NA,1,NA,NA,NA,NA,NA
1392,217,1890,"1","1","Painter",38.33,1899,1899,1899,NA,9,"1",NA,NA,NA,NA,NA,NA,NA,NA
1048,42,1875,"1","1","Labourer",34.52,1882,1882,1888,NA,13,"0",NA,NA,NA,996,34.52,6,3235,76
1838,1004,1902,"1","1","",NA,1912,1912,NA,NA,NA,"0","1",NA,1,NA,NA,NA,NA,NA
1200,80,1881,"1","1","Mason",49.9,1888,1888,1894,NA,13,"0",NA,NA,NA,NA,NA,NA,NA,NA
2367,544,1923,"1","1","Farm.Labourer",52.02,1929,1929,1937,NA,14,"0","1",NA,1,NA,NA,NA,NA,NA
2007,355,1905,"1","1","Sailor",50.99,1916,1916,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
1423,231,1894,"1","1","R.G.A.",57.72,1901,1901,1904,NA,10,"1",NA,NA,NA,NA,NA,NA,NA,NA
1084,51,1876,"1","1","Sailor",50.99,1883,1883,1884,NA,8,"0",NA,NA,NA,NA,NA,NA,4100,81
2513,647,1930,"1","1","Labourer",34.52,1935,1935,1943,1,13,"0","1",NA,1,NA,NA,NA,NA,NA
2532,661,1926,"1","1","Coastguard",57.72,1936,1936,1936,NA,10,"0","1",NA,1,NA,NA,NA,NA,NA
1603,1004,1901,"1","1","",NA,1907,1907,1915,NA,14,"0","1",NA,1,NA,NA,NA,NA,NA
2332,518,1922,"1","1","Carpenter",50,1927,1927,1937,NA,15,"0","1",NA,1,NA,NA,NA,NA,NA
2554,674,1927,"1","1","Lightkeeper",51.63,1937,1937,1939,NA,12,"1",NA,NA,NA,NA,NA,NA,NA,NA
1010,11,1871,"1","1","Captain",79.41,1878,1878,1885,NA,14,"0",NA,NA,NA,NA,NA,NA,NA,NA
1684,1004,1903,"1","1","",NA,1910,1910,1910,NA,7,"1",NA,NA,NA,NA,NA,NA,NA,NA
1748,308,1904,"1","1","Publican",41.2,1911,1911,1915,NA,11,"1",NA,NA,NA,NA,NA,NA,NA,NA
2763,802,1940,"1","1","Boatman",57.2,1946,1946,1955,NA,15,"1",NA,NA,NA,NA,NA,NA,NA,NA
2531,556,1931,"1","1","Labourer",34.52,1936,1936,1944,NA,13,"0","1",NA,1,NA,NA,NA,NA,NA
1293,162,1884,"1","1","Lightkeeper",51.63,1894,1894,1897,NA,13,"0",NA,NA,NA,NA,NA,NA,NA,NA
2112,408,1909,"1","1","Coastguard",57.72,1919,1919,1922,NA,13,"1",NA,NA,NA,NA,NA,NA,NA,NA
1658,1004,1899,"1","1","",NA,1909,1909,1913,NA,14,"0","1","0",1,NA,NA,NA,NA,NA
1729,1004,1904,"1","1","",NA,1911,1911,NA,NA,NA,"0","1","0",1,NA,NA,NA,4393,86
1608,1004,1899,"0","0","",NA,1907,1907,1913,NA,14,"0","1",NA,1,NA,NA,NA,NA,NA
1425,232,1893,"1","1","Lightkeeper",51.63,1901,1901,1906,NA,13,"1",NA,NA,NA,NA,NA,NA,NA,NA
2961,943,1947,"1","1","Potter",52.36,1952,1952,1954,NA,7,"1",NA,NA,NA,NA,NA,NA,NA,NA
2010,356,1906,"1","1","Photographer",59.83,1916,1916,1918,NA,12,"1",NA,NA,NA,NA,NA,NA,NA,NA
1016,17,1872,"1","1","Servant",41.45,1879,1879,1886,NA,14,"0",NA,NA,NA,NA,NA,NA,3457,17
2525,656,1930,"1","1","Mechanic",55.04,1936,1936,1944,NA,14,"0","1",NA,1,NA,NA,NA,NA,NA
1195,111,1882,"1","1","Master.Mariner",61.88,1888,1888,1896,NA,14,"0",NA,NA,NA,NA,NA,NA,NA,NA
1505,1004,1899,"1","1","",NA,1906,1906,1913,NA,14,"0","1","0",1,NA,NA,NA,NA,NA
1272,148,1886,"1","1","Labourer",34.52,1893,1893,1899,NA,13,"0",NA,NA,NA,1219,34.52,1,NA,NA
1739,306,1897,"1","1","Coastguard",57.72,1911,1911,1913,NA,16,"1",NA,NA,NA,NA,NA,NA,NA,NA
1053,45,1875,"1","1","Boarding.Clerk",58.68,1882,1882,1890,NA,15,"0",NA,NA,NA,907,51.61,5,6711,73
2866,872,1944,"1","1","Fisherman",52.66,1949,1949,1959,NA,15,"1","0","1",NA,NA,NA,NA,NA,NA
2457,608,1927,"1","1","Sexton",61.2,1932,1932,1941,NA,14,"0","1",NA,1,NA,NA,NA,NA,NA
2503,595,1929,"1","1","Fisherman",52.66,1935,1935,1943,NA,14,"0","1",NA,1,NA,NA,NA,NA,NA
1102,76,1878,"1","1","Carpenter",50,1884,1884,1891,NA,13,"0",NA,NA,NA,NA,NA,NA,NA,NA
1082,66,1877,"1","1","Labourer",34.52,1883,1883,1891,NA,14,"0",NA,NA,NA,NA,NA,NA,NA,NA
1264,145,NA,"1","1","Lightkeeper",51.63,1892,1892,1893,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
2261,1004,1920,"1","1","",NA,1925,1925,1934,NA,14,"0","1",NA,1,NA,NA,NA,NA,NA
1494,264,1899,"1","1","Boatman",57.2,1905,1905,1913,NA,14,"0","1","0",1,NA,NA,NA,3803,21
1441,238,1893,"1","1","Lightkeeper",51.63,1901,1901,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
1496,265,1894,"1","1","Farmer",51.61,1905,1905,1907,NA,13,"0",NA,NA,NA,NA,NA,NA,NA,NA
2057,1004,1912,"1","1","",NA,1918,1918,1926,NA,14,"0","1",NA,1,NA,NA,NA,NA,NA
1408,205,1894,"1","1","Customs.Office",61.5,1900,1900,1900,NA,6,"1",NA,NA,NA,NA,NA,NA,NA,NA
1409,210,1893,"1","1","Labourer",34.52,1900,1900,1907,NA,14,"0",NA,NA,NA,NA,NA,NA,NA,NA
2239,1004,1918,"1","1","",NA,1923,1923,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
1732,1004,1902,"1","1","",NA,1911,1911,NA,NA,NA,"0","1",NA,1,NA,NA,NA,NA,NA
1215,69,1882,"1","1","Carpenter",50,1889,1889,1897,NA,15,"0",NA,NA,NA,NA,NA,NA,4294,72
2598,604,1933,"1","1","Farmer",51.61,1939,1939,1949,NA,16,"0","1",NA,1,NA,NA,NA,NA,NA
1461,190,1896,"1","1","Farmer",51.61,1903,1903,1910,NA,14,"0","1",NA,1,NA,NA,NA,4339,96
1137,87,1877,"1","1","Sailor",50.99,1886,1886,1886,NA,9,"0",NA,NA,NA,NA,NA,NA,NA,NA
1318,175,1887,"1","1","Carpenter",50,1895,1895,1902,NA,15,"0",NA,NA,NA,NA,NA,NA,NA,NA
2641,710,1936,"1","1","Carpenter",50,1941,1941,1951,NA,15,"0","1","0",1,NA,NA,NA,NA,NA
1369,201,1891,"1","1","Porter",40.95,1898,1898,1900,NA,9,"0",NA,NA,NA,NA,NA,NA,NA,NA
1123,87,1877,"1","1","Sailor",50.99,1885,1885,1886,NA,9,"0",NA,NA,NA,NA,NA,NA,NA,NA
1178,93,1879,"1","1","Labourer",34.52,1887,1887,1892,NA,13,"0",NA,NA,NA,NA,NA,NA,4425,15
1153,10,1879,"1","1","Shoemaker",47.38,1886,1886,1893,NA,14,"0",NA,NA,NA,NA,NA,NA,NA,NA
1525,269,1893,"0","0","Boatman",57.2,1906,1906,1906,NA,13,"0","1","0",1,NA,NA,NA,NA,NA
1523,121,1895,"0","0","Labourer",34.52,1906,1906,1909,NA,14,"0","1","0",1,NA,NA,NA,NA,NA
1609,1004,1899,"0","0","",NA,1907,1907,1913,NA,14,"0","1",NA,1,NA,NA,NA,NA,NA
